bedrooms,beds,Price,n_person
1.0,1.0,111.0,2
3.0,4.0,156.0,4
2.0,3.0,180.0,4
1.0,1.0,103.0,2
1.0,1.0,85.0,2
4.0,3.0,145.0,6
4.0,8.0,445.0,4
2.0,2.0,110.0,4
1.0,3.0,230.0,2
2.0,3.0,104.0,4
4.0,4.0,400.0,6
1.0,2.0,85.0,3
2.0,2.0,195.0,4
,2.0,120.0,3
1.0,1.0,160.0,2
2.0,4.0,100.0,2
1.0,1.0,125.0,2
1.0,1.0,190.0,2
1.0,1.0,148.0,2
5.0,5.0,320.0,4
1.0,1.0,85.0,2
1.0,1.0,200.0,2
2.0,2.0,210.0,4
1.0,1.0,75.0,1
1.0,1.0,165.0,2
1.0,1.0,65.0,2
3.0,3.0,175.0,4
1.0,2.0,199.0,3
1.0,1.0,48.0,2
1.0,1.0,175.0,4
1.0,2.0,95.0,3
1.0,1.0,200.0,2
1.0,1.0,123.0,2
3.0,4.0,220.0,4
1.0,1.0,85.0,2
1.0,3.0,82.0,4
4.0,3.0,280.0,4
3.0,4.0,175.0,4
1.0,1.0,121.0,3
2.0,4.0,275.0,4
1.0,1.0,165.0,2
1.0,1.0,60.0,2
2.0,3.0,110.0,5
1.0,1.0,46.0,1
1.0,,95.0,2
1.0,1.0,278.0,2
1.0,1.0,193.0,2
2.0,1.0,210.0,3
1.0,1.0,112.0,2
3.0,3.0,250.0,4
1.0,1.0,155.0,2
1.0,1.0,185.0,2
1.0,1.0,80.0,2
3.0,5.0,218.0,4
1.0,2.0,225.0,3
2.0,2.0,249.0,4
3.0,4.0,249.0,4
1.0,1.0,166.0,2
1.0,,90.0,2
1.0,1.0,164.0,2
1.0,1.0,94.0,2
3.0,4.0,340.0,4
2.0,2.0,207.0,4
3.0,3.0,250.0,4
1.0,1.0,121.0,2
4.0,5.0,279.0,5
1.0,1.0,147.0,2
1.0,1.0,180.0,2
1.0,1.0,165.0,2
1.0,1.0,129.0,2
2.0,,210.0,4
3.0,4.0,629.0,4
3.0,3.0,77.0,4
1.0,1.0,89.0,1
2.0,2.0,140.0,3
1.0,1.0,211.0,2
1.0,1.0,260.0,2
1.0,,120.0,2
3.0,4.0,119.0,4
2.0,4.0,120.0,4
1.0,1.0,250.0,2
1.0,1.0,240.0,2
1.0,1.0,99.0,2
